L1,L2,L3,L4,R1,R2,R3,R4,R5
LTF,,,,GP9,,,,
MADCAM1,,,,SELL,,,,
MATN1,,,,PTPRD,,,,
MDK,,,,PTPRB,,,,
MIA,,,,CDH19,,,,
MMP2,,,,CD44,,,,
MMP2,,,,ITGAM,,,,
MMP2,,,,ITGB2,,,,
MMP7,,,,CDH6,,,,
MUC1,,,,CLEC10A,,,,
MUC5B,,,,CLEC10A,,,,
MYL9,,,,ITGA1,,,,
MYL9,,,,ITGB5,,,,
NCAM1,,,,FGFR4,,,,
NCAM1,,,,GFRA2,,,,
NCAM1,,,,GFRA4,,,,
NECTIN2,,,,CRTAM,,,,
NENF,,,,CDH2,,,,
NLGN1,,,,GRM5,,,,
NLGN2,,,,GRM5,,,,
NLGN3,,,,GRM5,,,,
NLGN4X,,,,GRM5,,,,
NOG,,,,BAMBI,,,,
NOG,,,,BMPR1A,,,,
NOG,,,,BMPR2,,,,
NOG,,,,HJV,,,,
NOG,,,,RGMB,,,,
NRG2,,,,EGFR,,,,
NRG3,,,,EGFR,,,,
OSCAR,,,,FCGR2B,,,,
OVGP1,,,,ADAM21,,,,
OVGP1,,,,ADAM30,,,,
P4HB,,,,COL17A1,,,,
PAPLN,,,,NECTIN4,,,,
PAPLN,,,,SIRPA,,,,
PDGFB,,,,ITGB3,,,,
PFN1,,,,ROBO1,,,,
PGF,,,,KDR,,,,
PLA2G10,,,,PLD2,,,,
PLA2G2A,,,,GPC1,,,,
PLAT,,,,CD4,,,,
PLAU,,,,ITGB3,,,,
PLAU,,,,PDGFRB,,,,
PLTP,,,,APP,,,,
POMC,,,,SDC3,,,,
PON1,,,,APP,,,,
PRL,,,,ERBB4,,,,
PROC,,,,F2R,,,,
PSG3,,,,GPC1,,,,
PSG3,,,,SDC1,,,,
PSG3,,,,SDC2,,,,
PSG3,,,,SDC4,,,,
PSG4,,,,GPC1,,,,
PSG4,,,,SDC1,,,,
PSG4,,,,SDC2,,,,
PSG4,,,,SDC4,,,,
PSG6,,,,GPC1,,,,
PSG6,,,,SDC1,,,,
PSG6,,,,SDC2,,,,
PSG6,,,,SDC4,,,,
PSG8,,,,GPC1,,,,
PSG8,,,,SDC1,,,,
PSG8,,,,SDC2,,,,
PSG8,,,,SDC4,,,,
PTPRC,,,,CXCR4,,,,
PVR,,,,ITGAV,,,,
PVR,,,,ITGB3,,,,
REN,,,,ASIC3,,,,
RGMA,,,,BAMBI,,,,
RGMA,,,,BMPR1A,,,,
RGMB,,,,BAMBI,,,,
RGMB,,,,BMPR1A,,,,
RPS19,,,,RPSA,,,,
RSPO4,,,,ZNRF3,,,,
SELE,,,,SPN,,,,
SELE,,,,TNFRSF25,,,,
SERPINE1,,,,ITGB3,,,,
SFTA3,,,,CSF2RB,,,,
SFTPA1,,,,CSF2RA,,,,
SFTPA1,,,,CSF2RB,,,,
SFTPA1,,,,TLR1,,,,
SFTPA1,,,,TLR4,,,,
SFTPA2,,,,CSF2RB,,,,
SFTPB,,,,CSF2RB,,,,
SFTPC,,,,CSF2RB,,,,
SFTPD,,,,CSF2RB,,,,
SHANK1,,,,GRM5,,,,
SHANK1,,,,NRXN2,,,,
SHANK2,,,,GRM5,,,,
SHANK2,,,,NRXN2,,,,
SHANK2,,,,NRXN3,,,,
SHH,,,,DISP2,,,,
SIRPA,,,,SIRPG,,,,
SIRPA,,,,TREM2,,,,
SIRPA,,,,TYROBP,,,,
SLIT1,,,,DCC,,,,
SLIT2,,,,CXCR4,,,,
SLIT3,,,,DCC,,,,
SLITRK4,,,,PTPRD,,,,
SLITRK6,,,,PTPRD,,,,
SOST,,,,FZD8,,,,
SOSTDC1,,,,BAMBI,,,,
SOSTDC1,,,,BMPR1A,,,,
SOSTDC1,,,,BMPR1B,,,,
SOSTDC1,,,,BMPR2,,,,
SOSTDC1,,,,HJV,,,,
SOSTDC1,,,,RGMB,,,,
SPN,,,,SELE,,,,
SPP1,,,,ITGA8,,,,
TCTN3,,,,TMEM67,,,,
TF,,,,GPR162,,,,
TF,,,,HJV,,,,
TFF1,,,,EGFR,,,,
TFF1,,,,ERBB2,,,,
TFF2,,,,EGFR,,,,
TFF2,,,,ERBB2,,,,
TFF3,,,,EGFR,,,,
TFF3,,,,ERBB2,,,,
TG,,,,ASGR2,,,,
TGFB3,,,,CAV1,,,,
TGFB3,,,,GPC1,,,,
TGFB3,,,,ITGAV,,,,
TGFB3,,,,ITGB8,,,,
TGFB3,,,,OCLN,,,,
THPO,,,,SIRPB1,,,,
TNC,,,,ITGAX,,,,
TNC,,,,NT5E,,,,
TNC,,,,SDC3,,,,
TNF,,,,CLEC3B,,,,
TNF,,,,SLC5A11,,,,
TNF,,,,SMPD2,,,,
TNS3,,,,MET,,,,
TRIL,,,,LY96,,,,
TRIL,,,,TLR4,,,,
TUSC3,,,,ALG10B,,,,
TUSC3,,,,MAGT1,,,,
UBA52,,,,AMFR,,,,
UBA52,,,,CFTR,,,,
UBA52,,,,F11R,,,,
UBA52,,,,FGFR4,,,,
UBA52,,,,KLB,,,,
UBA52,,,,NOTCH2,,,,
UBA52,,,,RPSA,,,,
ULBP1,,,,HCST,,,,
VASP,,,,ROBO1,,,,
VCAN,,,,TLR6,,,,
VEGFA,,,,CDH5,,,,
VEGFA,,,,FLT4,,,,
VEGFA,,,,ITGA3,,,,
VEGFB,,,,TYRO3,,,,
VTN,,,,SDC1,,,,
VTN,,,,SDC2,,,,
VWF,,,,GP1BB,,,,
VWF,,,,GP9,,,,
VWF,,,,KIAA1549,,,,
WNT1,,,,FZD6,,,,
WNT10A,,,,FZD10,,,,
WNT10A,,,,FZD2,,,,
WNT10A,,,,FZD3,,,,
WNT10A,,,,FZD4,,,,
WNT10A,,,,FZD6,,,,
WNT10A,,,,FZD7,,,,
WNT10A,,,,FZD9,,,,
WNT10B,,,,FZD10,,,,
WNT10B,,,,FZD3,,,,
WNT10B,,,,FZD5,,,,
WNT10B,,,,FZD6,,,,
WNT10B,,,,FZD9,,,,
WNT16,,,,FZD1,,,,
WNT16,,,,FZD10,,,,
WNT16,,,,FZD3,,,,
WNT16,,,,FZD4,,,,
WNT16,,,,FZD5,,,,
WNT16,,,,FZD7,,,,
WNT16,,,,FZD8,,,,
WNT16,,,,FZD9,,,,
WNT2,,,,FZD10,,,,
WNT2,,,,FZD6,,,,
WNT2B,,,,FZD10,,,,
WNT2B,,,,FZD3,,,,
WNT2B,,,,FZD5,,,,
WNT2B,,,,FZD6,,,,
WNT2B,,,,FZD9,,,,
WNT3,,,,FZD10,,,,
WNT3,,,,FZD2,,,,
WNT3,,,,FZD3,,,,
WNT3,,,,FZD4,,,,
WNT3,,,,FZD6,,,,
WNT3,,,,FZD9,,,,
WNT3,,,,LRP5,,,,
WNT3A,,,,CAV1,,,,
WNT3A,,,,FZD4,,,,
WNT3A,,,,FZD9,,,,
WNT3A,,,,ZNRF3,,,,
WNT4,,,,FZD10,,,,
WNT4,,,,FZD3,,,,
WNT4,,,,FZD4,,,,
WNT4,,,,FZD5,,,,
WNT4,,,,FZD7,,,,
WNT4,,,,FZD9,,,,
WNT6,,,,FZD1,,,,
WNT6,,,,FZD10,,,,
WNT6,,,,FZD2,,,,
WNT6,,,,FZD5,,,,
WNT6,,,,FZD6,,,,
WNT6,,,,FZD8,,,,
WNT6,,,,FZD9,,,,
WNT7A,,,,FZD2,,,,
WNT7A,,,,FZD3,,,,
WNT7A,,,,FZD4,,,,
WNT7A,,,,FZD6,,,,
WNT7A,,,,FZD7,,,,
WNT7A,,,,FZD8,,,,
WNT7B,,,,FZD3,,,,
WNT7B,,,,FZD6,,,,
WNT7B,,,,FZD7,,,,
WNT7B,,,,FZD9,,,,
WNT8A,,,,FZD1,,,,
WNT8A,,,,FZD10,,,,
WNT8A,,,,FZD2,,,,
WNT8A,,,,FZD3,,,,
WNT8A,,,,FZD6,,,,
WNT8A,,,,FZD7,,,,
WNT8A,,,,FZD9,,,,
WNT8A,,,,LRP6,,,,
WNT8B,,,,FZD1,,,,
WNT8B,,,,FZD10,,,,
WNT8B,,,,FZD2,,,,
WNT8B,,,,FZD3,,,,
WNT8B,,,,FZD4,,,,
WNT8B,,,,FZD5,,,,
WNT8B,,,,FZD6,,,,
WNT8B,,,,FZD7,,,,
WNT8B,,,,FZD8,,,,
WNT8B,,,,FZD9,,,,
WNT8B,,,,LRP6,,,,
WNT9A,,,,FZD3,,,,
WNT9A,,,,FZD5,,,,
WNT9A,,,,FZD6,,,,
WNT9A,,,,FZD7,,,,
WNT9A,,,,FZD9,,,,
WNT9B,,,,FZD3,,,,
WNT9B,,,,FZD6,,,,
WNT9B,,,,FZD7,,,,
WNT9B,,,,FZD9,,,,
ZP3,,,,ADAM21,,,,
ZP3,,,,ADAM30,,,,
CCN2,,,,FGFR2,,,,
CCN2,,,,IGF2R,,,,
COL18A1,,,,PTPRS,,,,
HAVCR1,,,,CD300LB,,,,
PLEKHO2,,,,PDGFRB,,,,
ITGAL,,,,CD226,,,,
ITGAL,,,,ICAM1,,,,
ITGAM,,,,ICAM1,,,,
ITGB1,,,,VCAM1,,,,
ITGA4,,,,VCAM1,,,,
ITGA9,,,,VCAM1,,,,
NRXN3,,,,NLGN4Y,,,,
CD40,,,,CD40LG,,,,
JAM3,,,,ITGAM,,,,
SELP,,,,SELPLG,,,,
F11R,,,,ITGAL,,,,
L1CAM,,,,NCAM1,,,,
NFASC,,,,CNTNAP1,,,,
NFASC,,,,CNTN1,,,,
CSH1,,,,GHR,,,,
COMP,,,,ITGA3,,,,
COL1A1,,,,ITGA3,,,,
LAMC3,,,,ITGA7,,,,
COL1A1,,,,ITGA9,,,,
LAMC3,,,,ITGA9,,,,
COL1A1,,,,ITGA10,,,,
VWF,,,,ITGAV,,,,
COMP,,,,ITGA2B,,,,
IBSP,,,,ITGB5,,,,
COL1A1,,,,ITGB8,,,,
LAMC3,,,,ITGAV,,,,
LAMC3,,,,ITGB8,,,,
VWF,,,,GP5,,,,
HEBP1,,,,FPR2,,,,
CCL8,,,,CCR8,,,,
IGF1,,,,TRPV2,,,,
COPA,,,,NTSR2,,,,
CSHL1,,,,PRLR,,,,
PPY,,,,NPFFR1,,,,
PPY,,,,NPFFR2,,,,
NPFF,,,,MAS1,,,,
BMP10,,,,ACVR1,,,,
BMP10,,,,ACVR2B,,,,
BMP15,,,,ACVR1,,,,
BMP15,,,,ACVR2B,,,,
BMP3,,,,ACVR1,,,,
BMP3,,,,ACVR2A,,,,
CTGF,,,,ITGAM,,,,
CTGF,,,,ITGB2,,,,
CTGF,,,,LRP6,,,,
CYR61,,,,ITGB3,,,,
DUSP18,,,,ITGA3,,,,
DUSP18,,,,ITGA6,,,,
DUSP18,,,,ITGB1,,,,
DUSP18,,,,RPSA,,,,
NOV,,,,NOTCH1,,,,
RSPO2,,,,JMJD6,,,,
CTGF,,,,FGFR3,,,,
CTGF,,,,FGFR2,,,,
GDF9,,,,KIT,,,,
CCL3,,,,CXCR5,,,,
CTGF,,,,LRP1,,,,
CTGF,,,,ERBB4,,,,
VEGFD,,,,NRP1,,,,
CTGF,,,,EGFR,,,,
PDGFB,,,,NRP1,,,,
EFNB2,,,,SDC2,,,,
DKK1,,,,KIT,,,,
FGF1,,,,GPC1,,,,
FGF1,,,,SDC4,,,,
FGF1,,,,SDC2,,,,
DLK1,,,,FGFR1,,,,
WNT3,,,,TRAF2,,,,
TNF,,,,DAG1,,,,
TNF,,,,NEO1,,,,
GSTP1,,,,NTRK1,,,,
RTN4,,,,NTRK1,,,,
CALR,,,,NTRK1,,,,
INSL3,,,,ALK,,,,
EFNB2,,,,SDC1,,,,
EFNB2,,,,LRP6,,,,
EFNB2,,,,FZD6,,,,
EFNB2,,,,EPHA2,,,,
EFNB2,,,,INSR,,,,
EFNB2,,,,ROR2,,,,
EFNB2,,,,FZD5,,,,
EFNB2,,,,LRP8,,,,
JAG2,,,,FZD6,,,,
JAG2,,,,INSR,,,,
JAG2,,,,FZD5,,,,
EFNB1,,,,FZD5,,,,
EFNB1,,,,LRP8,,,,
NDP,,,,LRP5,,,,
RTN4,,,,ROR2,,,,
EFNB2,,,,UNC5C,,,,
EFNB2,,,,LRP2,,,,
JAG2,,,,LRP2,,,,
EFNB1,,,,LRP2,,,,
LAMB1,,,,SDC2,,,,
LAMB1,,,,SDC1,,,,
TF,,,,SDC1,,,,
ARF1,,,,FAS,,,,
APOB,,,,ERBB2,,,,
APOB,,,,EGFR,,,,
APOB,,,,PTPRF,,,,
APOB,,,,MET,,,,
CALR,,,,FAS,,,,
UTS2,,,,FAS,,,,
LAMB1,,,,FAS,,,,
ANXA1,,,,HMMR,,,,
ARF1,,,,MYLK,,,,
ARF1,,,,LRP5,,,,
ARF1,,,,HMMR,,,,
GSTP1,,,,MYLK,,,,
GSTP1,,,,LRP5,,,,
GSTP1,,,,FAS,,,,
GSTP1,,,,HMMR,,,,
CALR,,,,LRP5,,,,
CALR,,,,HMMR,,,,
ANXA1,,,,LIFR,,,,
ANXA1,,,,DDR2,,,,
EFNB2,,,,EPHA7,,,,
RTN4,,,,EPHA2,,,,
RTN4,,,,FZD6,,,,
RTN4,,,,EPHA7,,,,
EFNB1,,,,EPHA7,,,,
ARF1,,,,CD44,,,,
CALR,,,,CD44,,,,
EPGN,,,,ERBB4,,,,
APP,,,,TGFBR2,,,,
F2,,,,LRP1,,,,
WNT4,,,,LRP6,,,,
WNT11,,,,LRP6,,,,
WNT1,,,,NOTCH1,,,,
RSPO2,,,,SDC4,,,,
TNFSF14,,,,TRAF2,,,,
ADAM17,,,,IL1R2,,,,
GZMB,,,,FGFR1,,,,
IL22,,,,IL20RA,,,,
WNT4,,,,LRP5,,,,
CSF3,,,,CSF2RA,,,,
IL22,,,,IFNAR2,,,,
CSF1,,,,CSF3R,,,,
WNT7A,,,,LRP5,,,,
CSF1,,,,CSF2RA,,,,
IL10,,,,IFNAR2,,,,
CNTF,,,,CRLF1,,,,
ANGPT2,,,,ITGA5,,,,
APP,,,,SDC1,,,,
APP,,,,KDR,,,,
APP,,,,PROKR1,,,,
SPP1,,,,SDC1,,,,
CTSG,,,,SDC1,,,,
CTSG,,,,LRP1,,,,
SERPINA1,,,,SDC2,,,,
HSP90B1,,,,TNFRSF1B,,,,
CALM1,,,,TNFRSF1B,,,,
GZMB,,,,NOTCH1,,,,
TGFB3,,,,SDC4,,,,
FN1,,,,ITGB5,,,,
FN1,,,,MTNR1A,,,,
CALM1,,,,TRAF2,,,,
TNF,,,,PTPRZ1,,,,
CCL22,,,,CCR7,,,,
WNT1,,,,CD36,,,,
CCL3,,,,ACKR4,,,,
CTSG,,,,CXCR4,,,,
PROS1,,,,RPSA,,,,
CALM1,,,,TNFRSF1A,,,,
CCL5,,,,CXCR5,,,,
CCL1,,,,CCR1,,,,
GSTP1,,,,IL7R,,,,
VEGFA,,,,PTPRB,,,,
TF,,,,IL7R,,,,
A2M,,,,TNFRSF14,,,,
CYR61,,,,ITGB5,,,,
CYR61,,,,ITGAV,,,,
VEGFA,,,,PTPRZ1,,,,
CALM1,,,,PTH1R,,,,
CORT,,,,CXCR6,,,,
CORT,,,,HTR1A,,,,
CORT,,,,FPR2,,,,
CORT,,,,ACKR3,,,,
CORT,,,,CCR1,,,,
CORT,,,,CCR7,,,,
CORT,,,,OPRM1,,,,
CORT,,,,APLNR,,,,
CORT,,,,OPRD1,,,,
CORT,,,,OPRK1,,,,
CORT,,,,CCR2,,,,
CORT,,,,BDKRB1,,,,
CORT,,,,MTNR1B,,,,
CORT,,,,AGTR2,,,,
CORT,,,,CCR6,,,,
CORT,,,,CXCR4,,,,
CORT,,,,GRM4,,,,
CORT,,,,LPAR1,,,,
CORT,,,,LPAR2,,,,
CORT,,,,HRH3,,,,
DLL1,,,,MTNR1A,,,,
CCL21,,,,HTR1A,,,,
CCL21,,,,FPR2,,,,
CCL21,,,,ACKR3,,,,
CCL21,,,,OPRM1,,,,
CCL21,,,,APLNR,,,,
CCL21,,,,OPRD1,,,,
CCL21,,,,OPRK1,,,,
CCL21,,,,CCR2,,,,
CCL21,,,,BDKRB1,,,,
CCL21,,,,MTNR1B,,,,
CCL21,,,,AGTR2,,,,
CCL21,,,,CCR6,,,,
CCL21,,,,CXCR4,,,,
CCL21,,,,GRM4,,,,
CCL21,,,,LPAR1,,,,
CCL21,,,,LPAR2,,,,
CCL21,,,,HRH3,,,,
NTN3,,,,TGFBR1,,,,
NTN3,,,,NOTCH1,,,,
NTN3,,,,PTCH1,,,,
NTN3,,,,UNC5A,,,,
NTN3,,,,ACVR1C,,,,
NTN3,,,,NOTCH3,,,,
NTN3,,,,PTCH2,,,,
WNT7A,,,,ROR2,,,,
CXCL11,,,,HTR1A,,,,
CXCL11,,,,FPR2,,,,
CXCL11,,,,CCR1,,,,
CXCL11,,,,CCR7,,,,
CXCL11,,,,OPRM1,,,,
CXCL11,,,,APLNR,,,,
CXCL11,,,,OPRD1,,,,
CXCL11,,,,OPRK1,,,,
CXCL11,,,,CCR2,,,,
CXCL11,,,,BDKRB1,,,,
CXCL11,,,,MTNR1B,,,,
CXCL11,,,,AGTR2,,,,
CXCL11,,,,CCR6,,,,
CXCL11,,,,CXCR4,,,,
CXCL11,,,,GRM4,,,,
CXCL11,,,,LPAR1,,,,
CXCL11,,,,LPAR2,,,,
CXCL11,,,,HRH3,,,,
TNFSF11,,,,TRAF2,,,,
NPFF,,,,HCRTR1,,,,
NPFF,,,,TACR2,,,,
NPFF,,,,FPR2,,,,
NPFF,,,,EDNRA,,,,
NPFF,,,,TACR1,,,,
NPFF,,,,F2R,,,,
NPFF,,,,HTR2A,,,,
NPFF,,,,AGTR1,,,,
NPFF,,,,OXTR,,,,
NPFF,,,,GNRHR,,,,
NPFF,,,,NTSR1,,,,
NPFF,,,,CCKBR,,,,
NPFF,,,,BDKRB1,,,,
NPFF,,,,F2RL1,,,,
NPFF,,,,NPSR1,,,,
NPFF,,,,PROKR2,,,,
NPFF,,,,PROKR1,,,,
NPFF,,,,LPAR1,,,,
NPFF,,,,GHSR,,,,
NPFF,,,,KISS1R,,,,
NPFF,,,,LPAR4,,,,
NPFF,,,,LPAR2,,,,
CCL25,,,,HTR1A,,,,
CCL25,,,,FPR2,,,,
CCL25,,,,ACKR3,,,,
CCL25,,,,CCR1,,,,
CCL25,,,,CCR7,,,,
CCL25,,,,OPRM1,,,,
CCL25,,,,APLNR,,,,
CCL25,,,,OPRD1,,,,
CCL25,,,,OPRK1,,,,
CCL25,,,,CCR2,,,,
CCL25,,,,BDKRB1,,,,
CCL25,,,,MTNR1B,,,,
CCL25,,,,AGTR2,,,,
CCL25,,,,CCR6,,,,
CCL25,,,,CXCR4,,,,
CCL25,,,,GRM4,,,,
CCL25,,,,LPAR1,,,,
CCL25,,,,LPAR2,,,,
CCL25,,,,HRH3,,,,
DHH,,,,SMO,,,,
TNFSF12,,,,TRAF2,,,,
HCRT,,,,TACR2,,,,
HCRT,,,,FPR2,,,,
HCRT,,,,EDNRA,,,,
HCRT,,,,TACR1,,,,
HCRT,,,,F2R,,,,
HCRT,,,,HTR2A,,,,
HCRT,,,,AGTR1,,,,
HCRT,,,,OXTR,,,,
HCRT,,,,GNRHR,,,,
HCRT,,,,NTSR1,,,,
HCRT,,,,CCKBR,,,,
HCRT,,,,BDKRB1,,,,
HCRT,,,,F2RL1,,,,
HCRT,,,,NPSR1,,,,
HCRT,,,,PROKR2,,,,
HCRT,,,,PROKR1,,,,
HCRT,,,,LPAR1,,,,
HCRT,,,,GHSR,,,,
HCRT,,,,KISS1R,,,,
HCRT,,,,LPAR4,,,,
HCRT,,,,LPAR2,,,,
EFNA2,,,,EPHB2,,,,
EFNA2,,,,TGFBR1,,,,
EFNA2,,,,EPHB3,,,,
EFNA2,,,,EPHB4,,,,
EFNA2,,,,EPHB1,,,,
CXCL13,,,,HTR1A,,,,
CXCL13,,,,FPR2,,,,
CXCL13,,,,ACKR3,,,,
CXCL13,,,,CCR1,,,,
CXCL13,,,,CCR7,,,,
CXCL13,,,,OPRM1,,,,
CXCL13,,,,APLNR,,,,
CXCL13,,,,OPRK1,,,,
CXCL13,,,,CCR2,,,,
CXCL13,,,,BDKRB1,,,,
CXCL13,,,,MTNR1B,,,,
CXCL13,,,,AGTR2,,,,
CXCL13,,,,CCR6,,,,
CXCL13,,,,CXCR4,,,,
CXCL13,,,,GRM4,,,,
CXCL13,,,,LPAR1,,,,
CXCL13,,,,LPAR2,,,,
CXCL13,,,,HRH3,,,,
SLIT2,,,,PTCH1,,,,
SLIT2,,,,ROBO3,,,,
GDF11,,,,TGFBR1,,,,
GDF11,,,,ACVR1C,,,,
UTS2,,,,NTSR2,,,,
UTS2,,,,TACR2,,,,
UTS2,,,,EDNRB,,,,
UTS2,,,,FPR2,,,,
UTS2,,,,EDNRA,,,,
UTS2,,,,TACR1,,,,
UTS2,,,,F2R,,,,
UTS2,,,,HTR2A,,,,
UTS2,,,,HTR2C,,,,
UTS2,,,,NMBR,,,,
UTS2,,,,TACR3,,,,
UTS2,,,,BDKRB2,,,,
UTS2,,,,GRPR,,,,
UTS2,,,,AGTR1,,,,
UTS2,,,,OXTR,,,,
UTS2,,,,GNRHR,,,,
UTS2,,,,NTSR1,,,,
UTS2,,,,CCKAR,,,,
UTS2,,,,CCKBR,,,,
UTS2,,,,TRHR,,,,
UTS2,,,,HRH1,,,,
UTS2,,,,AVPR1A,,,,
UTS2,,,,HTR2B,,,,
UTS2,,,,XCR1,,,,
UTS2,,,,BDKRB1,,,,
UTS2,,,,GCGR,,,,
UTS2,,,,AVPR1B,,,,
UTS2,,,,F2RL1,,,,
UTS2,,,,NPSR1,,,,
UTS2,,,,PROKR2,,,,
UTS2,,,,PROKR1,,,,
UTS2,,,,LPAR1,,,,
UTS2,,,,GHSR,,,,
UTS2,,,,KISS1R,,,,
UTS2,,,,QRFPR,,,,
UTS2,,,,F2RL3,,,,
UTS2,,,,LPAR4,,,,
UTS2,,,,MCHR1,,,,
UTS2,,,,NMUR2,,,,
UTS2,,,,NPFFR1,,,,
UTS2,,,,NMUR1,,,,
UTS2,,,,LPAR2,,,,
UTS2,,,,NPFFR2,,,,
NTN1,,,,ITGB4,,,,
NTN1,,,,ITGA6,,,,
NTN1,,,,ACVR1B,,,,
NTN1,,,,TGFBR1,,,,
NTN1,,,,NOTCH1,,,,
NTN1,,,,NOTCH2,,,,
NTN1,,,,PTCH1,,,,
NTN1,,,,ACVR1C,,,,
NTN1,,,,ROBO2,,,,
NTN1,,,,NOTCH3,,,,
NTN1,,,,PTCH2,,,,
F2,,,,TACR2,,,,
F2,,,,FPR2,,,,
F2,,,,EDNRA,,,,
F2,,,,TACR1,,,,
F2,,,,HTR2A,,,,
F2,,,,AGTR1,,,,
F2,,,,GNRHR,,,,
F2,,,,NTSR1,,,,
F2,,,,CCKBR,,,,
F2,,,,BDKRB1,,,,
F2,,,,NPSR1,,,,
F2,,,,PROKR2,,,,
F2,,,,PROKR1,,,,
F2,,,,LPAR1,,,,
F2,,,,GHSR,,,,
F2,,,,KISS1R,,,,
F2,,,,LPAR4,,,,
F2,,,,LPAR2,,,,
F2,,,,PROCR,,,,
F2,,,,NPFFR2,,,,
F9,,,,GP1BA,,,,
F9,,,,GP1BB,,,,
F9,,,,F3,,,,
F9,,,,GP9,,,,
F9,,,,GP5,,,,
PLG,,,,MET,,,,
PLAU,,,,CD44,,,,
AGT,,,,HTR1A,,,,
AGT,,,,TACR2,,,,
AGT,,,,C5AR1,,,,
AGT,,,,CXCR1,,,,
AGT,,,,CXCR2,,,,
AGT,,,,FPR2,,,,
AGT,,,,EDNRA,,,,
AGT,,,,TACR1,,,,
AGT,,,,ACKR3,,,,
AGT,,,,F2R,,,,
AGT,,,,NPY1R,,,,
AGT,,,,HTR1D,,,,
AGT,,,,HTR1B,,,,
AGT,,,,HTR2A,,,,
AGT,,,,NMBR,,,,
AGT,,,,TACR3,,,,
AGT,,,,BDKRB2,,,,
AGT,,,,GRPR,,,,
AGT,,,,OXTR,,,,
AGT,,,,SSTR1,,,,
AGT,,,,SSTR2,,,,
AGT,,,,HTR1F,,,,
AGT,,,,GNRHR,,,,
AGT,,,,NTSR1,,,,
AGT,,,,SSTR4,,,,
AGT,,,,CCKAR,,,,
AGT,,,,CCKBR,,,,
AGT,,,,CCR1,,,,
AGT,,,,CCR7,,,,
AGT,,,,CXCR5,,,,
AGT,,,,SSTR3,,,,
AGT,,,,TRHR,,,,
AGT,,,,SSTR5,,,,
AGT,,,,HRH1,,,,
AGT,,,,OPRM1,,,,
AGT,,,,APLNR,,,,
AGT,,,,AVPR1A,,,,
AGT,,,,OPRD1,,,,
AGT,,,,OPRK1,,,,
AGT,,,,OPRL1,,,,
AGT,,,,HTR2B,,,,
AGT,,,,CCR2,,,,
AGT,,,,CCR10,,,,
AGT,,,,XCR1,,,,
AGT,,,,BDKRB1,,,,
AGT,,,,GALR1,,,,
AGT,,,,GCGR,,,,
AGT,,,,HTR5A,,,,
AGT,,,,AVPR1B,,,,
AGT,,,,NPBWR1,,,,
AGT,,,,NPY2R,,,,
AGT,,,,MTNR1B,,,,
AGT,,,,CXCR3,,,,
AGT,,,,NPY4R,,,,
AGT,,,,CCR4,,,,
AGT,,,,CCR6,,,,
AGT,,,,CCR8,,,,
AGT,,,,CCR9,,,,
AGT,,,,F2RL1,,,,
AGT,,,,GRM4,,,,
AGT,,,,P2RY14,,,,
AGT,,,,NPY5R,,,,
AGT,,,,C3AR1,,,,
AGT,,,,NPSR1,,,,
AGT,,,,PROKR2,,,,
AGT,,,,PROKR1,,,,
AGT,,,,RXFP4,,,,
AGT,,,,LPAR1,,,,
AGT,,,,GHSR,,,,
AGT,,,,KISS1R,,,,
AGT,,,,QRFPR,,,,
AGT,,,,F2RL3,,,,
AGT,,,,LPAR4,,,,
AGT,,,,MCHR1,,,,
AGT,,,,NMUR2,,,,
AGT,,,,NPFFR1,,,,
AGT,,,,HRH4,,,,
AGT,,,,NMUR1,,,,
AGT,,,,LPAR2,,,,
AGT,,,,RXFP3,,,,
AGT,,,,UTS2R,,,,
AGT,,,,HRH3,,,,
AGT,,,,NPFFR2,,,,
AGT,,,,PTGDR2,,,,
A2M,,,,TYRO3,,,,
C3,,,,HTR1A,,,,
C3,,,,FPR2,,,,
C3,,,,ACKR3,,,,
C3,,,,CCR1,,,,
C3,,,,CCR7,,,,
C3,,,,OPRM1,,,,
C3,,,,APLNR,,,,
C3,,,,OPRD1,,,,
C3,,,,OPRK1,,,,
C3,,,,CCR2,,,,
C3,,,,BDKRB1,,,,
C3,,,,MTNR1B,,,,
C3,,,,AGTR2,,,,
C3,,,,CCR6,,,,
C3,,,,CXCR4,,,,
C3,,,,GRM4,,,,
C3,,,,LPAR1,,,,
C3,,,,LPAR2,,,,
C3,,,,HRH3,,,,
C5,,,,HTR1A,,,,
C5,,,,FPR1,,,,
C5,,,,CXCR1,,,,
C5,,,,CXCR2,,,,
C5,,,,FPR2,,,,
C5,,,,ACKR3,,,,
C5,,,,NPY1R,,,,
C5,,,,HTR1D,,,,
C5,,,,HTR1B,,,,
C5,,,,BDKRB2,,,,
C5,,,,SSTR1,,,,
C5,,,,SSTR2,,,,
C5,,,,HTR1F,,,,
C5,,,,SSTR4,,,,
C5,,,,CCR1,,,,
C5,,,,CCR7,,,,
C5,,,,CXCR5,,,,
C5,,,,SSTR3,,,,
C5,,,,SSTR5,,,,
C5,,,,OPRM1,,,,
C5,,,,APLNR,,,,
C5,,,,OPRD1,,,,
C5,,,,OPRK1,,,,
C5,,,,OPRL1,,,,
C5,,,,CCR2,,,,
C5,,,,CCR10,,,,
C5,,,,BDKRB1,,,,
C5,,,,GALR1,,,,
C5,,,,HTR5A,,,,
C5,,,,NPBWR1,,,,
