L1,L2,R1,R2,R3
GAD2,SLC32A1,GABRA4,GABRB3,GABRG2
GAD2,SLC32A1,GABRA5,GABRB3,GABRG2
GAD2,SLC32A1,GABRA6,GABRB3,GABRD
GAD2,SLC32A1,GABRA6,GABRB3,GABRG2
GAD2,SLC6A1,GABBR1,,
GAD2,SLC6A1,GABBR2,,
GAD2,SLC6A1,GABRA1,GABRB2,
GAD2,SLC6A1,GABRA1,GABRB2,GABRD
GAD2,SLC6A1,GABRA1,GABRB2,GABRG2
GAD2,SLC6A1,GABRA1,GABRB3,
GAD2,SLC6A1,GABRA1,GABRB3,GABRG2
GAD2,SLC6A1,GABRA2,GABRB3,GABRG2
GAD2,SLC6A1,GABRA3,GABRB3,GABRE
GAD2,SLC6A1,GABRA3,GABRB3,GABRG2
GAD2,SLC6A1,GABRA3,GABRB3,GABRQ
GAD2,SLC6A1,GABRA4,GABRB2,GABRD
GAD2,SLC6A1,GABRA4,GABRB3,GABRD
GAD2,SLC6A1,GABRA4,GABRB3,GABRG2
GAD2,SLC6A1,GABRA5,GABRB3,GABRG2
GAD2,SLC6A1,GABRA6,GABRB3,GABRD
GAD2,SLC6A1,GABRA6,GABRB3,GABRG2
GAD2,SLC6A11,GABBR1,,
GAD2,SLC6A11,GABBR2,,
GAD2,SLC6A11,GABRA1,GABRB2,
GAD2,SLC6A11,GABRA1,GABRB2,GABRD
GAD2,SLC6A11,GABRA1,GABRB2,GABRG2
GAD2,SLC6A11,GABRA1,GABRB3,
GAD2,SLC6A11,GABRA1,GABRB3,GABRG2
GAD2,SLC6A11,GABRA2,GABRB3,GABRG2
GAD2,SLC6A11,GABRA3,GABRB3,GABRE
GAD2,SLC6A11,GABRA3,GABRB3,GABRG2
GAD2,SLC6A11,GABRA3,GABRB3,GABRQ
GAD2,SLC6A11,GABRA4,GABRB2,GABRD
GAD2,SLC6A11,GABRA4,GABRB3,GABRD
GAD2,SLC6A11,GABRA4,GABRB3,GABRG2
GAD2,SLC6A11,GABRA5,GABRB3,GABRG2
GAD2,SLC6A11,GABRA6,GABRB3,GABRD
GAD2,SLC6A11,GABRA6,GABRB3,GABRG2
GAD2,SLC6A13,GABBR1,,
GAD2,SLC6A13,GABBR2,,
GAD2,SLC6A13,GABRA1,GABRB2,
GAD2,SLC6A13,GABRA1,GABRB2,GABRD
GAD2,SLC6A13,GABRA1,GABRB2,GABRG2
GAD2,SLC6A13,GABRA1,GABRB3,
GAD2,SLC6A13,GABRA1,GABRB3,GABRG2
GAD2,SLC6A13,GABRA2,GABRB3,GABRG2
GAD2,SLC6A13,GABRA3,GABRB3,GABRE
GAD2,SLC6A13,GABRA3,GABRB3,GABRG2
GAD2,SLC6A13,GABRA3,GABRB3,GABRQ
GAD2,SLC6A13,GABRA4,GABRB2,GABRD
GAD2,SLC6A13,GABRA4,GABRB3,GABRD
GAD2,SLC6A13,GABRA4,GABRB3,GABRG2
GAD2,SLC6A13,GABRA5,GABRB3,GABRG2
GAD2,SLC6A13,GABRA6,GABRB3,GABRD
GAD2,SLC6A13,GABRA6,GABRB3,GABRG2
GAD2,SLC6A6,GABBR1,,
GAD2,SLC6A6,GABBR2,,
GAD2,SLC6A6,GABRA1,GABRB2,
GAD2,SLC6A6,GABRA1,GABRB2,GABRD
GAD2,SLC6A6,GABRA1,GABRB2,GABRG2
GAD2,SLC6A6,GABRA1,GABRB3,
GAD2,SLC6A6,GABRA1,GABRB3,GABRG2
GAD2,SLC6A6,GABRA2,GABRB3,GABRG2
GAD2,SLC6A6,GABRA3,GABRB3,GABRE
GAD2,SLC6A6,GABRA3,GABRB3,GABRG2
GAD2,SLC6A6,GABRA3,GABRB3,GABRQ
GAD2,SLC6A6,GABRA4,GABRB2,GABRD
GAD2,SLC6A6,GABRA4,GABRB3,GABRD
GAD2,SLC6A6,GABRA4,GABRB3,GABRG2
GAD2,SLC6A6,GABRA5,GABRB3,GABRG2
GAD2,SLC6A6,GABRA6,GABRB3,GABRD
GAD2,SLC6A6,GABRA6,GABRB3,GABRG2
GAD2,SLC6A8,GABBR1,,
GAD2,SLC6A8,GABBR2,,
GAD2,SLC6A8,GABRA1,GABRB2,
GAD2,SLC6A8,GABRA1,GABRB2,GABRD
GAD2,SLC6A8,GABRA1,GABRB2,GABRG2
GAD2,SLC6A8,GABRA1,GABRB3,
GAD2,SLC6A8,GABRA1,GABRB3,GABRG2
GAD2,SLC6A8,GABRA2,GABRB3,GABRG2
GAD2,SLC6A8,GABRA3,GABRB3,GABRE
GAD2,SLC6A8,GABRA3,GABRB3,GABRG2
GAD2,SLC6A8,GABRA3,GABRB3,GABRQ
GAD2,SLC6A8,GABRA4,GABRB2,GABRD
GAD2,SLC6A8,GABRA4,GABRB3,GABRD
GAD2,SLC6A8,GABRA4,GABRB3,GABRG2
GAD2,SLC6A8,GABRA5,GABRB3,GABRG2
GAD2,SLC6A8,GABRA6,GABRB3,GABRD
GAD2,SLC6A8,GABRA6,GABRB3,GABRG2
GAL,,GALR1,GPR151,
GAL,,GALR2,GPR151,
GAL,,GALR3,GPR151,
LGALS3,,MERTK,,
LGALS9,,P4HB,,
GAST,,CCKAR,,
GAST,,CCKBR,,
GLS,SLC17A6,GRIA1,,
GLS,SLC17A6,GRIA2,,
GLS,SLC17A6,GRIA3,,
GLS,SLC17A6,GRIK1,,
GLS,SLC17A6,GRIK1,GRIK4,
GLS,SLC17A6,GRIK2,,
GLS,SLC17A6,GRIK2,GRIK4,
GLS,SLC17A6,GRIK3,,
GLS,SLC17A6,GRIK3,GRIK4,
GLS,SLC17A6,GRIN1,GRIN2C,
GLS,SLC17A6,GRIN1,GRIN2D,
GLS,SLC17A6,GRM1,,
GLS,SLC17A6,GRM2,,
GLS,SLC17A6,GRM3,,
GLS,SLC17A6,GRM4,,
GLS,SLC17A6,GRM5,,
GLS,SLC17A6,GRM6,,
GLS,SLC17A6,GRM7,,
GLS,SLC17A6,GRM8,,
GLS,SLC17A7,GRIA1,,
GLS,SLC17A7,GRIA2,,
GLS,SLC17A7,GRIA3,,
GLS,SLC17A7,GRIK1,,
GLS,SLC17A7,GRIK1,GRIK4,
GLS,SLC17A7,GRIK2,,
GLS,SLC17A7,GRIK2,GRIK4,
GLS,SLC17A7,GRIK3,,
GLS,SLC17A7,GRIK3,GRIK4,
GLS,SLC17A7,GRIN1,GRIN2C,
GLS,SLC17A7,GRIN1,GRIN2D,
GLS,SLC17A7,GRM1,,
GLS,SLC17A7,GRM2,,
GLS,SLC17A7,GRM3,,
GLS,SLC17A7,GRM4,,
GLS,SLC17A7,GRM5,,
GLS,SLC17A7,GRM6,,
GLS,SLC17A7,GRM7,,
GLS,SLC17A7,GRM8,,
GLS,SLC17A8,GRIA1,,
GLS,SLC17A8,GRIA2,,
GLS,SLC17A8,GRIA3,,
GLS,SLC17A8,GRIK1,,
GLS,SLC17A8,GRIK1,GRIK4,
GLS,SLC17A8,GRIK2,,
GLS,SLC17A8,GRIK2,GRIK4,
GLS,SLC17A8,GRIK3,,
GLS,SLC17A8,GRIK3,GRIK4,
GLS,SLC17A8,GRIN1,GRIN2C,
GLS,SLC17A8,GRIN1,GRIN2D,
GLS,SLC17A8,GRM1,,
GLS,SLC17A8,GRM2,,
GLS,SLC17A8,GRM3,,
GLS,SLC17A8,GRM4,,
GLS,SLC17A8,GRM5,,
GLS,SLC17A8,GRM6,,
GLS,SLC17A8,GRM7,,
GLS,SLC17A8,GRM8,,
GLS,SLC1A1,GRIA1,,
GLS,SLC1A1,GRIA2,,
GLS,SLC1A1,GRIA3,,
GLS,SLC1A1,GRIK1,,
GLS,SLC1A1,GRIK1,GRIK4,
GLS,SLC1A1,GRIK2,,
GLS,SLC1A1,GRIK2,GRIK4,
GLS,SLC1A1,GRIK3,,
GLS,SLC1A1,GRIK3,GRIK4,
GLS,SLC1A1,GRIN1,GRIN2C,
GLS,SLC1A1,GRIN1,GRIN2D,
GLS,SLC1A1,GRM1,,
GLS,SLC1A1,GRM2,,
GLS,SLC1A1,GRM3,,
GLS,SLC1A1,GRM4,,
GLS,SLC1A1,GRM5,,
GLS,SLC1A1,GRM6,,
GLS,SLC1A1,GRM7,,
GLS,SLC1A1,GRM8,,
GLS,SLC1A2,GRIA1,,
GLS,SLC1A2,GRIA2,,
GLS,SLC1A2,GRIA3,,
GLS,SLC1A2,GRIK1,,
GLS,SLC1A2,GRIK1,GRIK4,
GLS,SLC1A2,GRIK2,,
GLS,SLC1A2,GRIK2,GRIK4,
GLS,SLC1A2,GRIK3,,
GLS,SLC1A2,GRIK3,GRIK4,
GLS,SLC1A2,GRIN1,GRIN2C,
GLS,SLC1A2,GRIN1,GRIN2D,
GLS,SLC1A2,GRM1,,
GLS,SLC1A2,GRM2,,
GLS,SLC1A2,GRM3,,
GLS,SLC1A2,GRM4,,
GLS,SLC1A2,GRM5,,
GLS,SLC1A2,GRM6,,
GLS,SLC1A2,GRM7,,
GLS,SLC1A2,GRM8,,
GLS,SLC1A3,GRIA1,,
GLS,SLC1A3,GRIA2,,
GLS,SLC1A3,GRIA3,,
GLS,SLC1A3,GRIK1,,
GLS,SLC1A3,GRIK1,GRIK4,
GLS,SLC1A3,GRIK2,,
GLS,SLC1A3,GRIK2,GRIK4,
GLS,SLC1A3,GRIK3,,
GLS,SLC1A3,GRIK3,GRIK4,
GLS,SLC1A3,GRIN1,GRIN2C,
GLS,SLC1A3,GRIN1,GRIN2D,
GLS,SLC1A3,GRM1,,
GLS,SLC1A3,GRM2,,
GLS,SLC1A3,GRM3,,
GLS,SLC1A3,GRM4,,
GLS,SLC1A3,GRM5,,
GLS,SLC1A3,GRM6,,
GLS,SLC1A3,GRM7,,
GLS,SLC1A3,GRM8,,
GLS,SLC1A6,GRIA1,,
GLS,SLC1A6,GRIA2,,
GLS,SLC1A6,GRIA3,,
GLS,SLC1A6,GRIK1,,
GLS,SLC1A6,GRIK1,GRIK4,
GLS,SLC1A6,GRIK2,,
GLS,SLC1A6,GRIK2,GRIK4,
GLS,SLC1A6,GRIK3,,
GLS,SLC1A6,GRIK3,GRIK4,
GLS,SLC1A6,GRIN1,GRIN2C,
GLS,SLC1A6,GRIN1,GRIN2D,
GLS,SLC1A6,GRM1,,
GLS,SLC1A6,GRM2,,
GLS,SLC1A6,GRM3,,
GLS,SLC1A6,GRM4,,
GLS,SLC1A6,GRM5,,
GLS,SLC1A6,GRM6,,
GLS,SLC1A6,GRM7,,
GLS,SLC1A6,GRM8,,
GLS,SLC1A7,GRIA1,,
GLS,SLC1A7,GRIA2,,
GLS,SLC1A7,GRIA3,,
GLS,SLC1A7,GRIK1,,
GLS,SLC1A7,GRIK1,GRIK4,
GLS,SLC1A7,GRIK2,,
GLS,SLC1A7,GRIK2,GRIK4,
GLS,SLC1A7,GRIK3,,
GLS,SLC1A7,GRIK3,GRIK4,
GLS,SLC1A7,GRIN1,GRIN2C,
GLS,SLC1A7,GRIN1,GRIN2D,
GLS,SLC1A7,GRM1,,
GLS,SLC1A7,GRM2,,
GLS,SLC1A7,GRM3,,
GLS,SLC1A7,GRM4,,
GLS,SLC1A7,GRM5,,
GLS,SLC1A7,GRM6,,
GLS,SLC1A7,GRM7,,
GLS,SLC1A7,GRM8,,
GLS2,SLC1A1,GRIA1,,
GLS2,SLC1A1,GRIA2,,
GLS2,SLC1A1,GRIA3,,
GLS2,SLC1A1,GRIK1,,
GLS2,SLC1A1,GRIK1,GRIK4,
GLS2,SLC1A1,GRIK2,,
GLS2,SLC1A1,GRIK2,GRIK4,
GLS2,SLC1A1,GRIK3,,
GLS2,SLC1A1,GRIK3,GRIK4,
GLS2,SLC1A1,GRIN1,GRIN2C,
GLS2,SLC1A1,GRIN1,GRIN2D,
GLS2,SLC1A1,GRM1,,
GLS2,SLC1A1,GRM2,,
GLS2,SLC1A1,GRM3,,
GLS2,SLC1A1,GRM4,,
GLS2,SLC1A1,GRM5,,
GLS2,SLC1A1,GRM6,,
GLS2,SLC1A1,GRM7,,
GLS2,SLC1A1,GRM8,,
SHMT2,SLC6A5,GLRA1,GLRB,
SHMT2,SLC6A5,GLRA2,,
SHMT2,SLC6A9,GLRA1,GLRB,
SHMT2,SLC6A9,GLRA2,,
GDF10,,ACVR1B,ACVR2B,
GDF11,,ACVR1B,ACVR2A,
GDF11,,ACVR2A,TGFBR1,
GDF11,,ACVR2B,TGFBR1,
GDF2,,ACVR2A,ACVRL1,
GDF5,,ACVR2A,BMPR1A,
GDF5,,ACVR2A,BMPR1B,
GDF5,,ACVR2B,BMPR1A,
GDF5,,ACVR2B,BMPR1B,
GDF6,,ACVR2A,BMPR1A,
GDF6,,ACVR2A,BMPR1B,
GDF6,,ACVR2B,BMPR1B,
GDF7,,ACVR2A,BMPR1A,
GDF7,,ACVR2A,BMPR1B,
GDF7,,ACVR2B,BMPR1A,
GDF7,,ACVR2B,BMPR1B,
GDF9,,BMPR2,TGFBR1,
MSTN,,ACVR2A,TGFBR1,
MSTN,,ACVR2B,TGFBR1,
HDC,,HRH1,,
IHH,,BOC,PTCH1,
IHH,,CDON,PTCH1,
IHH,,GAS1,PTCH1,
IHH,,HHIP,,
INHBA,INHBB,ACVR1,ACVR2A,
INHBA,INHBB,ACVR1,ACVR2B,
INHBA,INHBB,ACVR1B,ACVR2A,
INHBA,INHBB,ACVR1B,ACVR2B,
INHBA,INHBB,ACVR1C,ACVR2A,
INHBA,INHBB,ACVR1C,ACVR2B,
IGF1,,GPC3,IGF1R,
IGFBP3,,TMEM219,,
IFNA1,,IFNAR1,IFNAR2,
IL29,,IFNLR1,IL10RB,
LOC100298542,,IFNLR1,IL10RB,
IFNW1,,IFNAR1,IFNAR2,
EBI3,IL12A,IL12RB2,IL6ST,
EBI3,IL27,IL27RA,IL6ST,
IL12A,IL12B,IL12RB1,IL12RB2,
IL12B,IL23A,IL12RB1,IL23R,
IL13,,IL13RA1,IL4R,
IL15,,IL15RA,LOC510185,
IL17A,IL17F,IL17RA,IL17RC,
IL1A,,IL1R2,IL1RAP,
IL1B,,IL1R2,IL1RAP,
IL1F10,,IL1RAP,IL1RL2,
IL1RAP,,PTPRF,,
IL1RN,,IL1R1,IL1RAP,
IL1RN,,IL1R2,IL1RAP,
IL22,,IL10RB,IL22RA1,
IL26,,IL10RB,IL20RA,
IL33,,IL1RAP,IL1RL1,
IL36A,,IL1RAP,IL1RL2,
LOC100297786,,IL1RAP,IL1RL2,
IL36G,,IL1RAP,IL1RL2,
IL36RN,,IL1RAP,IL1RL2,
IL37,,IL18R1,SIGIRR,
IL7,,IL2RG,IL7R,
IL9,,IL2RG,IL9R,
LEFTY2,,TDGF1,,
LRRC4B,,PTPRS,,
LRRC4C,,PTPRF,,
LRFN4,,PTPRF,,
LRFN4,,PTPRS,,
LRRTM4,,PTPRS,,
GGT1,,CYSLTR1,,
GGT1,,CYSLTR2,,
GGT1,GGT5,CYSLTR1,,
GGT1,GGT5,CYSLTR2,,
GGT1,GGT5,GPR17,,
LTA4H,,GPR17,,
LTA4H,,LTB4R,,
LTA4H,,LTB4R2,,
LTB,,LTBR,,
PTGR1,,LTB4R,,
PTGR1,,LTB4R2,,
MDK,,LOC536642,,
AMH,,ACVR1,AMHR2,
AMH,,AMHR2,BMPR1B,
NTN4,,NTRK2,,
NRG1,,ITGA6,ITGB4,
NRXN1,,DAG1,,
NRXN2,,DAG1,,
NMB,,GRPR,,
NTS,,SORT1,,
NRTN,,GFRA2,RET,
NTF3,,NGFR,,
NTF4,,NGFR,,
NTF4,,NTRK2,,
DBH,SLC18A1,ADRA2C,,
DBH,SLC18A1,ADRB2,,
DBH,SLC18A2,ADRA2C,,
DBH,SLC18A2,ADRB2,,
DBH,SLC6A2,ADRA2C,,
DBH,SLC6A2,ADRB2,,
CNTN1,,NOTCH1,,
CNTN1,,NOTCH2,,
OSM,,IL6ST,LIFR,
OSM,,IL6ST,OSMR,
ADCYAP1,,VIPR1,,
PGF,,FLT1,,
PGF,,FLT1,KDR,
PGF,,NRP1,,
PGF,,NRP2,,
PLAU,,PLAUR,,
PLAUR,,ITGA4,ITGB1,
PLAUR,,ITGAV,ITGB3,
PDGFB,,PDGFRA,PDGFRB,
PDGFD,,PDGFRA,PDGFRB,
PODXL,,SELL,,
PMCH,,MCHR2,,
AKR1B1,,PTGFR,,
CBR1,,PTGFR,,
PTGDS,,GPR44,,
PTGES,,PTGER1,,
PTGES,,PTGER2,,
PTGES,,PTGER3,,
PTGES,,PTGER4,,
PTGES2,,PTGER2,,
PTGES3,,PTGER1,,
PTGES3,,PTGER2,,
PTGES3,,PTGER3,,
PTGES3,,PTGER4,,
RSPO1,,FZD8,LRP6,
RSPO1,,KREMEN1,LRP6,
RSPO1,,LGR4,,
RSPO1,,LGR5,,
RSPO1,,LGR6,,
RSPO2,,LGR4,,
RSPO2,,LGR5,,
RSPO2,,LGR6,,
RSPO3,,LGR4,,
RSPO3,,LGR5,,
RSPO3,,LGR6,,
RSPO4,,LGR4,,
RSPO4,,LGR5,,
RSPO4,,LGR6,,
RELN,,LRP8,,
ALDH1A1,,CRABP2,RARA,
ALDH1A1,,CRABP2,RARA,RXRA
ALDH1A1,,CRABP2,RARG,
ALDH1A1,,CRABP2,RARG,RXRG
ALDH1A1,,CRABP2,RXRA,
ALDH1A1,,CRABP2,RXRG,
ALDH1A1,,RORB,,
ALDH1A2,,CRABP2,RARA,
ALDH1A2,,CRABP2,RARA,RXRA
ALDH1A2,,CRABP2,RARG,
ALDH1A2,,CRABP2,RARG,RXRG
ALDH1A2,,CRABP2,RXRA,
ALDH1A2,,CRABP2,RXRG,
ALDH1A2,,RORB,,
ALDH1A3,,CRABP2,RARA,
ALDH1A3,,CRABP2,RARA,RXRA
ALDH1A3,,CRABP2,RARG,
ALDH1A3,,CRABP2,RARG,RXRG
ALDH1A3,,CRABP2,RXRA,
ALDH1A3,,CRABP2,RXRG,
ALDH1A3,,RORB,,
RARRES2,,LOC515976,,
SOSTDC1,,LRP5,,
SOSTDC1,,LRP6,,
SEMA3A,,NRP1,,
SEMA3C,,NRP2,,
SEMA3F,,NRP2,,
SEMA6A,,NRP1,PLXNA2,
SEMA6D,,KDR,PLXNA1,
SEMA7A,,ITGA1,ITGB1,
SLC18A1,TPH1,HTR2B,,
SLC18A2,TPH1,HTR2B,,
SLC6A4,TPH1,HTR2B,,
DDC,,DRD4,,
DDC,,HTR2B,,
SLITRK1,,PTPRS,,
SLITRK2,,PTPRS,,
SLITRK4,,PTPRS,,
SLITRK5,,PTPRS,,
SLITRK6,,PTPRS,,
SHH,,BOC,PTCH1,
SHH,,BOC,PTCH2,
SHH,,CDON,PTCH1,
SHH,,CDON,PTCH2,
SHH,,GAS1,PTCH1,
SHH,,GAS1,PTCH2,
TF,,TFR2,,
TF,,TFRC,,
TGFB1,,TGFBR3,,
TGFB2,,ACVR1,TGFBR2,
TGFB2,,TGFBR3,,
TGFB3,,ACVR1,TGFBR2,
TGFB3,,ITGAV,ITGB6,
TGFB3,,ITGAV,ITGB8,
TGFB3,,TGFBR3,,
DIO3,TG,THRA,,
FASLG,,FAS,,
FASLG,,TNFRSF6B,,
TNFSF10,,TNFRSF11B,,
TNFSF12,,TNFRSF25,,
TNFSF14,,TNFRSF6B,,
TNFSF15,,TNFRSF6B,,
VEGFA,,FLT1,,
VEGFA,,FLT1,KDR,
VEGFA,,KDR,,
VEGFA,,NRP1,,
VEGFA,,NRP2,,
VEGFB,,FLT1,,
VEGFB,,FLT1,KDR,
VEGFB,,NRP1,,
AVP,,OXTR,,
DKK1,,LRP5,,
DKK1,,LRP6,,
DKK2,,LRP6,,
WNT1,,FZD8,RYK,
WNT1,,SFRP1,,
WNT1,,SFRP2,,
WNT1,,SFRP4,,
WNT11,,CER1,,
WNT11,,FRZB,,
WNT11,,FZD1,LRP5,
WNT11,,FZD1,LRP6,
WNT11,,FZD10,LRP5,
WNT11,,FZD10,LRP6,
WNT11,,FZD2,LRP5,
WNT11,,FZD2,LRP6,
WNT11,,FZD3,LRP5,
WNT11,,FZD3,LRP6,
WNT11,,FZD4,LRP5,
WNT11,,FZD4,LRP6,
WNT11,,FZD5,LRP5,
WNT11,,FZD5,LRP6,
WNT11,,FZD6,LRP5,
WNT11,,FZD6,LRP6,
WNT11,,FZD7,LRP5,
WNT11,,FZD7,LRP6,
WNT11,,FZD8,LRP5,
WNT11,,FZD8,LRP6,
WNT11,,FZD9,LRP5,
WNT11,,FZD9,LRP6,
WNT11,,SFRP1,,
WNT11,,SFRP2,,
WNT11,,SFRP4,,
WNT11,,SFRP5,,
WNT16,,SFRP1,,
WNT16,,SFRP2,,
WNT16,,SFRP4,,
WNT2,,CER1,,
WNT2,,FRZB,,
WNT2,,SFRP1,,
WNT2,,SFRP2,,
WNT2,,SFRP4,,
WNT2,,SFRP5,,
WNT2B,,SFRP1,,
WNT2B,,SFRP2,,
WNT2B,,SFRP4,,
WNT3,,FZD8,RYK,
WNT3,,SFRP1,,
WNT3,,SFRP2,,
WNT3,,SFRP4,,
WNT3A,,FZD8,RYK,
WNT3A,,SFRP1,,
WNT3A,,SFRP2,,
WNT3A,,SFRP4,,
WNT4,,SFRP1,,
WNT4,,SFRP2,,
WNT4,,SFRP4,,
WNT5A,,CER1,,
WNT5A,,FRZB,,
WNT5A,,FZD10,LRP5,
WNT5A,,FZD10,LRP6,
WNT5A,,FZD2,LRP5,
WNT5A,,FZD2,LRP6,
WNT5A,,FZD3,LRP5,
WNT5A,,FZD3,LRP6,
WNT5A,,FZD4,LRP5,
WNT5A,,FZD4,LRP6,
WNT5A,,FZD5,LRP5,
WNT5A,,FZD5,LRP6,
WNT5A,,FZD6,LRP5,
WNT5A,,FZD6,LRP6,
WNT5A,,FZD7,LRP5,
WNT5A,,FZD7,LRP6,
WNT5A,,FZD8,LRP5,
WNT5A,,FZD8,LRP6,
WNT5A,,FZD8,RYK,
WNT5A,,FZD9,LRP5,
WNT5A,,FZD9,LRP6,
WNT5A,,ROR1,,
WNT5A,,ROR2,,
WNT5A,,SFRP1,,
WNT5A,,SFRP2,,
WNT5A,,SFRP4,,
WNT5A,,SFRP5,,
WNT5B,,FZD1,LRP5,
WNT5B,,FZD1,LRP6,
WNT5B,,FZD10,LRP5,
WNT5B,,FZD10,LRP6,
WNT5B,,FZD2,LRP5,
WNT5B,,FZD2,LRP6,
WNT5B,,FZD3,LRP5,
WNT5B,,FZD3,LRP6,
WNT5B,,FZD4,LRP5,
WNT5B,,FZD4,LRP6,
WNT5B,,FZD5,LRP5,
WNT5B,,FZD5,LRP6,
WNT5B,,FZD6,LRP5,
WNT5B,,FZD6,LRP6,
WNT5B,,FZD7,LRP5,
WNT5B,,FZD7,LRP6,
WNT5B,,FZD8,LRP5,
WNT5B,,FZD8,LRP6,
WNT5B,,FZD9,LRP5,
WNT5B,,FZD9,LRP6,
WNT5B,,SFRP1,,
WNT5B,,SFRP2,,
WNT5B,,SFRP4,,
WNT6,,SFRP1,,
WNT6,,SFRP2,,
WNT6,,SFRP4,,
WNT7A,,SFRP1,,
WNT7A,,SFRP2,,
WNT7A,,SFRP4,,
WNT8A,,CER1,,
WNT8A,,FRZB,,
WNT8A,,SFRP1,,
WNT8A,,SFRP2,,
WNT8A,,SFRP4,,
WNT8A,,SFRP5,,
WNT8B,,SFRP1,,
WNT8B,,SFRP2,,
WNT8B,,SFRP4,,
WNT9A,,SFRP1,,
WNT9A,,SFRP2,,
WNT9A,,SFRP4,,
WNT9B,,SFRP1,,
WNT9B,,SFRP2,,
WNT9B,,SFRP4,,
INHA,,ACVR1,ACVR2A,
INHA,,ACVR1,ACVR2B,
INHA,,ACVR1B,ACVR2A,
INHA,,ACVR1B,ACVR2B,
INHA,,ACVR1C,ACVR2A,
INHA,,ACVR1C,ACVR2B,
INHA,INHBA,ACVR1,ACVR2A,
INHA,INHBA,ACVR1,ACVR2B,
INHA,INHBA,ACVR1B,ACVR2A,
INHA,INHBA,ACVR1B,ACVR2B,
INHA,INHBA,ACVR1C,ACVR2A,
INHA,INHBA,ACVR1C,ACVR2B,
INHA,INHBB,ACVR1,ACVR2A,
INHA,INHBB,ACVR1,ACVR2B,
INHA,INHBB,ACVR1B,ACVR2A,
INHA,INHBB,ACVR1B,ACVR2B,
INHA,INHBB,ACVR1C,ACVR2A,
INHA,INHBB,ACVR1C,ACVR2B,
INHBC,,ACVR2A,,
INHBC,,ACVR2B,,
INHBE,,ACVR2A,,
INHBE,,ACVR2B,,
ARTN,,GFRA1,RET,
ARTN,,GFRA3,RET,
PSPN,,GFRA4,RET,
ITGAV,ITGB1,ADGRE2,,
ITGAV,ITGB1,ADGRE5,,
ITGAV,ITGB3,ADGRA2,,
ITGAV,ITGB3,ADGRE2,,
ITGAV,ITGB3,ADGRE5,,
ITGAV,ITGB5,ADGRB1,,
ADIPOQ,,ADIPOR1,ADIPOR2,
ALB,,B2M,FCGRT,
B2M,CD1B,IL6ST,,
BAG6,,NCR3,,
CD248,,IL6R,,
CD276,,TREML2,,
CD34,,SELL,,
CD47,,SIRPB1,TYROBP,
CD48,,CD244,,
CD58,,CD2,,
CD80,,NGFR,,
CD93,,IFNGR1,,
CHL1,,L1CAM,,
CLCF1,,CNTFR,IL6ST,LIFR
CLU,,TREM2,TYROBP,
CNTF,,CNTFR,IL6ST,LIFR
CSPG4,,ITGA3,ITGB1,
FBN1,,ITGA5,ITGB1,
FGFR4,,TGFBR3,,
FLT3LG,,FLT3,,
FTH1,,SCARA5,,
FTL,,SCARA5,,
GDNF,,GFRA1,RET,
HEBP1,,FPR3,,
HFE,,TFRC,,
LCN2,,SLC22A17,,
LIF,,IL6ST,LIFR,
LRPAP1,,SORT1,,
MMP2,,ITGAV,ITGB3,
NDP,,FZD4,LRP5,
OMD,,ITGAV,ITGB3,
PENK,,GHSR,,
PLG,,ITGA2B,ITGB3,
LOC100337215,,BSG,,
PRXL2B,,PTGFR,,
PTGIS,,PTGIR,,
PTPRD,,IL1RAP,,
PTPRD,,IL1RAPL1,,
PTPRS,,NTRK3,,
RBP4,,STRA6,,
REN,,ATP6AP2,,
SAA3,,FPR2,,
SIGLEC15,,CD44,,
TULP1,,TYRO3,,
SDC2,,FGFR4,,
CD44,,TYROBP,,
ACTR2,,ADRB2,,
ACTR2,,LDLR,,
ACTR2,,LRP2,,
ADAM10,,CADM1,,
ADAM10,,CD44,,
ADAM10,,EPHA3,,
ADAM10,,GPNMB,,
ADAM10,,IL6R,,
ADAM10,,MET,,
ADAM10,,NOTCH1,,
ADAM10,,NOTCH2,,
ADAM10,,TREM2,,
ADAM10,,TSPAN10,,
ADAM10,,TSPAN12,,
ADAM10,,TSPAN14,,
ADAM10,,TSPAN15,,
ADAM10,,TSPAN17,,
ADAM10,,TSPAN5,,
ADAM12,,ITGA9,,
ADAM12,,ITGB1,,
ADAM12,,SDC4,,
ADAM15,,ITGA5,,
ADAM15,,ITGA9,,
ADAM15,,ITGAV,,
ADAM15,,ITGB1,,
ADAM15,,ITGB3,,
ADAM17,,ERBB4,,
ADAM17,,IL6R,,
ADAM17,,ITGA5,,
ADAM17,,ITGB1,,
ADAM17,,MET,,
ADAM17,,NOTCH1,,
ADAM17,,RHBDF2,,
ADAM2,,CD9,,
ADAM2,,ITGA6,,
ADAM2,,ITGB1,,
ADAM9,,ITGA3,,
ADAM9,,ITGA6,,
ADAM9,,ITGAV,,
ADAM9,,ITGB1,,
ADAM9,,ITGB5,,
ADCYAP1,,ADRB2,,
ADCYAP1,,RAMP2,,
ADCYAP1,,RAMP3,,
ADIPOQ,,CNR2,,
ADM,,ADCYAP1R1,,
ADM,,ADRB2,,
ADM,,ADRB3,,
ADM,,GPR182,,
ADM,,GPR20,,
ADM,,GPR84,,
ADM,,PTH1R,,
ADM,,RAMP2,,
ADM,,TSHR,,
